"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D17","SOT23_3L_ReflowSoldering","2475mil","1875mil","2475mil","1875mil","2436.614mil","1831.693mil","T","270.00","BAT54C"
"D14","SOT23_3L_ReflowSoldering","1875mil","1875mil","1875mil","1875mil","1836.614mil","1831.693mil","T","270.00","BAT54C"
"D9","SOT23_3L_ReflowSoldering","1275mil","1875mil","1275mil","1875mil","1236.614mil","1831.693mil","T","270.00","BAT54C"
"C17","0805_ReflowSoldering_CAP","3555mil","2835mil","3555mil","2835mil","3519mil","2835mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C19","0805_ReflowSoldering_CAP","3190.15mil","2934.429mil","3190.15mil","2934.429mil","3190.15mil","2970.429mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C25","0805_ReflowSoldering_CAP","3555mil","2745mil","3555mil","2745mil","3591mil","2745mil","T","180.00","C_0805_X7R_10%_100N-50V"
"C21","0805_ReflowSoldering_CAP","2900mil","2080mil","2900mil","2080mil","2864mil","2080mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C18","0805_ReflowSoldering_CAP","2971.402mil","2815.677mil","2971.402mil","2815.677mil","2971.402mil","2851.677mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C20","0805_ReflowSoldering_CAP","3202.65mil","2133.177mil","3202.65mil","2133.177mil","3202.65mil","2097.177mil","T","90.00","C_0805_X7R_10%_100N-50V"
"C37","0805_ReflowSoldering_CAP","7590mil","2345mil","7590mil","2345mil","7554mil","2345mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C36","0805_ReflowSoldering_CAP","7795mil","2435mil","7795mil","2435mil","7759mil","2435mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C35","0805_ReflowSoldering_CAP","7375mil","2345mil","7375mil","2345mil","7339mil","2345mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C34","0805_ReflowSoldering_CAP","8010mil","2435mil","8010mil","2435mil","7974mil","2435mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C33","0805_ReflowSoldering_CAP","7170mil","2255mil","7170mil","2255mil","7134mil","2255mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C32","0805_ReflowSoldering_CAP","8225mil","2435mil","8225mil","2435mil","8189mil","2435mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C31","0805_ReflowSoldering_CAP","6965mil","2165mil","6965mil","2165mil","6929mil","2165mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C30","0805_ReflowSoldering_CAP","8440mil","2435mil","8440mil","2435mil","8404mil","2435mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C29","0805_ReflowSoldering_CAP","6840mil","2470mil","6840mil","2470mil","6840mil","2506mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C28","0805_ReflowSoldering_CAP","6835mil","2240mil","6835mil","2240mil","6835mil","2276mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C16","0805_ReflowSoldering_CAP","5895mil","2240mil","5895mil","2240mil","5895mil","2276mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C14","0805_ReflowSoldering_CAP","5150mil","2045mil","5150mil","2045mil","5114mil","2045mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C13","0805_ReflowSoldering_CAP","5355mil","2045mil","5355mil","2045mil","5319mil","2045mil","T","360.00","C_0805_X7R_10%_100N-50V"
"C7","0805_ReflowSoldering_CAP","4780mil","2045mil","4780mil","2045mil","4816mil","2045mil","T","180.00","C_0805_X7R_10%_100N-50V"
"C5","0805_ReflowSoldering_CAP","3965mil","2390mil","3965mil","2390mil","3965mil","2426mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C27","0805_ReflowSoldering_CAP","6365mil","2240mil","6365mil","2240mil","6365mil","2276mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C11","0805_ReflowSoldering_CAP","4985mil","2045mil","4985mil","2045mil","5021mil","2045mil","T","180.00","C_0805_X7R_10%_100N-50V"
"C12","0805_ReflowSoldering_CAP","3965mil","2195mil","3965mil","2195mil","3965mil","2231mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C10","0805_ReflowSoldering_CAP","3965mil","2975mil","3965mil","2975mil","3965mil","3011mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C8","0805_ReflowSoldering_CAP","3965mil","2585mil","3965mil","2585mil","3965mil","2621mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C6","0805_ReflowSoldering_CAP","3965mil","2780mil","3965mil","2780mil","3965mil","2816mil","T","270.00","C_0805_X7R_10%_100N-50V"
"D7","SOT23_3L_ReflowSoldering","437.5mil","1956.25mil","437.5mil","1956.25mil","399.114mil","1912.943mil","T","270.00","BAT54C"
"D8","SOT23_3L_ReflowSoldering","837.5mil","1956.25mil","837.5mil","1956.25mil","799.114mil","1912.943mil","T","270.00","BAT54C"
"D40","SOT23_3L_ReflowSoldering","8437.5mil","1956.25mil","8437.5mil","1956.25mil","8399.114mil","1912.943mil","T","270.00","BAT54C"
"D47","SOT23_3L_ReflowSoldering","10037.5mil","1956.25mil","10037.5mil","1956.25mil","9999.114mil","1912.943mil","T","270.00","BAT54C"
"K7","RELAY_FINDER_34.51_+SUPPORT_93","4022.244mil","1275.787mil","3975mil","1215.748mil","4022.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K20","RELAY_FINDER_34.51_+SUPPORT_93","10022.244mil","1275.787mil","9975mil","1215.748mil","10022.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
"K21","RELAY_FINDER_34.51_+SUPPORT_93","10422.244mil","1275.787mil","10375mil","1215.748mil","10422.244mil","1617.323mil","T","270.00","RELAY_12VDC_1RT_34.51"
